                                                                                                      List of relations
   Schema   |              Name               |   Type   |     Owner      | Persistence | Access method |    Size    |                                              Description                                               
------------+---------------------------------+----------+----------------+-------------+---------------+------------+--------------------------------------------------------------------------------------------------------
 extensions | pg_stat_statements              | view     | supabase_admin | permanent   |               | 0 bytes    | 
 extensions | pg_stat_statements_info         | view     | supabase_admin | permanent   |               | 0 bytes    | 
 public     | account_cleanup_audit           | table    | postgres       | permanent   | heap          | 8192 bytes | Audit trail for account cleanup actions - maintains history even after account deletion for compliance
 public     | active_conversations            | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | active_inquiries                | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | active_listings                 | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | active_messages                 | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | active_user_profiles            | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | admin_actions                   | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | admin_impersonation_audit       | table    | postgres       | permanent   | heap          | 8192 bytes | Audit trail for all admin impersonation activities
 public     | admin_impersonation_sessions    | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | admin_impersonation_tokens      | table    | postgres       | permanent   | heap          | 8192 bytes | Secure tokens for admin user impersonation with expiration and single-use enforcement
 public     | admin_listing_actions           | table    | postgres       | permanent   | heap          | 8192 bytes | Comprehensive audit trail for all admin actions on listings
 public     | admin_verification_queue        | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | auth_sync_logs                  | table    | postgres       | permanent   | heap          | 16 kB      | 
 public     | auth_sync_logs_id_seq           | sequence | postgres       | permanent   |               | 8192 bytes | 
 public     | conversations                   | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | inquiries                       | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | listing_appeals                 | table    | postgres       | permanent   | heap          | 8192 bytes | Appeal system for rejected listings - enables seller advocacy
 public     | listings                        | table    | postgres       | permanent   | heap          | 728 kB     | 
 public     | listings_with_legacy_format     | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | messages                        | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | notifications                   | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | onboarding_documents            | table    | postgres       | permanent   | heap          | 8192 bytes | Stores records of documents uploaded by users during the onboarding process.
 public     | otp_verifications               | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | user_events                     | table    | postgres       | permanent   | heap          | 8192 bytes | 
 public     | user_profiles                   | table    | postgres       | permanent   | heap          | 16 kB      | 
 public     | user_verification_status        | view     | postgres       | permanent   |               | 0 bytes    | 
 public     | verification_request_activities | table    | postgres       | permanent   | heap          | 8192 bytes | Complete audit trail of all verification request activities
 public     | verification_requests           | table    | postgres       | permanent   | heap          | 8192 bytes | 
(30 rows)

